country,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,generation_gwh_2017,estimated_generation_gwh_2017
USA,USA0059371,1.9,40.2003,-74.5761,Solar,,,,2012,G&S Solar Installers LLC,2.276,2.61
USA,USA0060858,2,42.0761,-71.4227,Solar,,,,2012,126 Grove Solar LLC,2.251,2.64
USA,USA0057310,1.3,33.7943,-118.2414,Solar,,,,2011,Konoike Pacific,1.66,1.8
USA,USA0057458,3.8,40.5358,-74.3913,Solar,,,,2011,Avidan Energy Solutions,4.819,5.17
USA,USA0007770,4.2,41.9084,-89.0466,Gas,,,,2000,Rochelle Municipal Utilities,0.264,14.81
USA,USA0060542,1.3,44.4777,-73.1534,Solar,,,,2011,158th Fighter Wing,1.616,1.34
USA,USA0058187,1.9,40.5161,-74.34,Solar,,,,2012,180 Raritan Energy Solutions  LLC,2.547,2.58
USA,USA0054818,2.4,33.7583,-84.3869,Oil,,,,1991,Banyan St./GAP 191 Peachtree Owner  LLC,0,1.4
USA,USA0059822,2,42.1091,-72.1712,Solar,,,,2014,SE Solarne2 LLC,2.722,2.85
USA,USA0059821,3,42.1093,-72.1705,Solar,,,,2014,SH Solarne2 LLC,5.041,4.37
USA,USA0058918,1.2,36.67,-119.4158,Solar,,,,2014,Solarenewal LLC,3.016,2.62
USA,USA0058920,1.5,37.3522,-120.5069,Solar,,,,2014,Solarenewal LLC,3.626,3.3
USA,USA0058919,1.3,39.2917,-121.6697,Solar,,,,2014,Solarenewal LLC,2.646,2.48
USA,USA0061195,2,35.2441,-81.4304,Solar,,,,2017,Soltage LLC,1.207,3.25
USA,USA0059365,4.9,40.2058,-74.5797,Solar,,,,2014,Altus Power America Management  LLC,5.259,8.01
USA,USA0057871,1,34.0269,-118.2242,Solar,,,,2012,Los Angeles Department of Water & Power,1.35,1.45
USA,USA0059485,2.2,42.5814,-71.7622,Solar,,,,2014,NuGen Capital Management,1.372,2.88
USA,USA0061518,4.3,42.0552,-72.5218,Solar,,,,2017,301 Chestnut Solar NG  LLC,1.847,7
USA,USA0061224,1.8,40.8942,-74.7302,Solar,,,,2011,350 Clark Solar NG  LLC,1.143,2.34
USA,USA0059370,1.8,40.1964,-74.5836,Solar,,,,2012,G&S Solar Installers LLC,1.93,2.47
USA,USA0061237,2.5,41.8094,-71.1922,Solar,,,,2012,433 Purchase Solar NG  LLC,3.662,3.45
USA,USA0058455,3,44.5281,-121.1528,Hydro,,,,2015,EBD Hydro LLC,6.349,5.49
USA,USA0007268,161.7,42.7553,-86.0853,Gas,Oil,,,1996.131107,City of Holland,0,570.23
USA,USA0059534,5,35.4325,-78.4117,Solar,,,,2015,USF Surry LLC,2.747,9.72
USA,USA0057640,1,40.1392,-75.1917,Solar,,,,2011,500 Virginia Solar  LP,1.174,1.28
USA,USA0056196,528,40.7889,-73.9069,Gas,Oil,,,2006,New York Power Authority,2223.712995,1861.98
USA,USA0057363,1.3,36.4972,-77.6058,Solar,,,,2014,510 REPP One LLC,1.447,2.23
USA,USA0002503,17.1,40.7713,-73.9912,Gas,Oil,,,1969,Consolidated Edison Co-NY Inc,0,60.3
USA,USA0059046,2.5,42.6267,-71.7428,Solar,,,,2014,651 Chase Solar NG LLC,4.034,3.27
USA,USA0002504,37,40.768,-73.9515,Oil,,,,1968,Consolidated Edison Co-NY Inc,0.504,21.68
USA,USA0052162,14.1,35.1011,-118.3372,Wind,,,,1985,Tehachapi Wind Wall  LLC,16.521,22.04
USA,USA0052163,21.2,35.1011,-118.3372,Wind,,,,1985,Tehachapi Wind Wall  LLC,16.355,23.01
USA,USA0003272,12,35.0314,-81.4936,Hydro,,,,1910,Duke Energy Carolinas  LLC,50.585,46.22
USA,USA0006137,706.8,37.9053,-87.715,Coal,Oil,Gas,,1985.994058,Southern Indiana Gas & Elec Co,1942.599978,3264.83
USA,USA0000293,12.8,37.151,-119.5047,Hydro,,,,1910,Pacific Gas & Electric Co.,34.926,46.38
USA,USA0006635,84,41.4482,-72.8349,Gas,Waste,Oil,,2007,Connecticut Mun Elec Engy Coop,4.333,296.22
USA,USA0056076,3.8,33.5828,-86.7799,Gas,,,,1997,Drummond Company  Inc.,2.763,13.4
USA,USA0061525,5,35.7287,-79.7483,Solar,,,,2018,Cypress Creek Renewables,0,8.14
USA,USA0058699,2,35.1697,-119.1056,Biomass,,,,2014,ABEC Bidart-Old River LLC,12.124,
USA,USA0058798,1.3,39.4375,-74.6906,Solar,,,,2013,Sustainable Power Group  LLC,1.907,1.98
USA,USA0057845,3.5,39.4175,-74.5422,Waste,,,,2005,AC Landfill Energy LLC,8.24,0.63
USA,USA0060802,1.4,39.4606,-74.6809,Solar,,,,2013,GSRP,1.985,2.14
USA,USA0061247,4.1,28.4845,-81.1741,Solar,,,,2017,ACE-Stanton A  LLC,2.308,6.68
USA,USA0061246,4.8,28.4774,-81.1804,Solar,,,,2017,ACE-Stanton  LLC,2.755,7.82
USA,USA0057938,20.8,32.0039,-93.3911,Cogeneration,,,,2011,ADA Carbon Solutions (Red River)  LLC,0,
USA,USA0060184,2.8,32.7755,-83.4348,Waste,,,,2011,ADS Renewable Energy- Wolf Creek  LLC,18.118,0.5
USA,USA0060618,2,40.8928,-83.8863,Storage,,,,2009,Ohio Power Co,0,
USA,USA0060617,2,41.2326,-85.3149,Storage,,,,2009,Indiana Michigan Power Co,0,
USA,USA0061388,7.1,30.5236,-81.6864,Solar,,,,2017,AEP Onsite Partners,8.259,11.56
USA,USA0059995,2,38.3622,-82.1256,Storage,,,,2009,Appalachian Power Co,0,
USA,USA0000315,1115,33.7688,-118.1009,Gas,,,,1962.887892,AES Alamitos LLC,855.083,3932.04
USA,USA0010673,203,21.3034,-158.1065,Coal,Oil,Other,,1992,AES Hawaii LLC,1395.546954,937.69
USA,USA0000335,218,33.6439,-117.9792,Gas,,,,1959,AES Huntington Beach LLC,408.97,768.77
USA,USA0000994,2154.8,38.5281,-87.2525,Coal,Oil,,,1976.75775,Indianapolis Power & Light Co,9341.582954,9953.39
USA,USA0000356,821.4,33.8504,-118.395,Gas,,,,1962.430241,AES Redondo Beach LLC,514.578,2896.66
USA,USA0010678,229,39.5952,-78.7453,Coal,,,,1999,AES WR Ltd Partnership,1108.237006,1057.79
USA,USA0059949,11,39.5931,-78.7453,Storage,,,,2016,AES Tait LLC,-2.639,
USA,USA0057554,5.5,38.9579,-104.8066,Solar,,,,2011,Solar Star Colorado II LLC,11.203,9.75
USA,USA0060986,2.5,42.5019,-71.7378,Solar,,,,2017,Terraform Arcadia,3.621,4.07
USA,USA0055672,692,33.1189,-82.8608,Gas,,,,2002,SEPG Operating Services  LLC ALS,1.145,2440.33
USA,USA0058344,5,35.4189,-77.9856,Solar,,,,2013,AM Best Farm,8.689,9
USA,USA0056018,98.6,33.1661,-86.2825,Gas,,,,2004,Alabama Municipal Elec Authority,25.61,347.71
USA,USA0058082,3.5,41.4067,-84.1108,Solar,,,,2012,American Mun Power-Ohio  Inc,4.905,4.59
USA,USA0060680,7.4,33.6267,-85.9695,Solar,,,,2017,Alabama Power Co,7.668,12.05
USA,USA0055211,578,42.1106,-71.4535,Gas,,,,2002.5,ANP Bellingham Energy Company LLC,1999.288,2038.31
USA,USA0055212,578,42.0599,-71.5158,Gas,,,,2001,ANP Blackstone Energy Company LLC,2017.379,2038.31
USA,USA0059610,20,33.74,-117.0106,Solar,,,,2015,AP North Lake I  LP,41.996,51.89
USA,USA0061282,7.9,39.3975,-76.2991,Gas,Oil,,,2017,US Dept of Army  Garrison  APG,50.523,27.85
USA,USA0058889,1,38.7614,-122.9753,Solar,,,,2009,Perpetual Energy Systems,1.518,1.73
USA,USA0061154,1.3,33.8364,-117.9169,Gas,,,,2016,Bloom Energy,10.401,4.58
USA,USA0061153,1.3,37.4176,-121.9445,Gas,,,,2016,Bloom Energy,10.879,4.58
USA,USA0057378,253,34.7803,-118.4244,Solar,,,,2014,AV Solar Ranch 1 LLC,607.949,649.52
USA,USA0060085,3.7,34.7489,-117.9736,Solar,,,,2017,Tesla Inc.,8.472,6.02
USA,USA0003581,2.8,29.594,-98.0407,Hydro,,,,1927,Guadalupe Blanco River Authority,11.599,7.87
USA,USA0003338,111,45.4299,-98.494,Gas,Oil,,,2003.918919,NorthWestern Energy - (SD),10.379,391.44
USA,USA0007789,15.6,36.2399,-106.423,Hydro,,,,1993.230769,Los Alamos County,50.851,39.62
USA,USA0055173,1389.2,30.4286,-92.4131,Gas,,,,2002,Cleco Power LLC,4767.264,4899
USA,USA0059543,1.6,42.4733,-71.4306,Solar,,,,2014,Heliovaas LLC,1.941,2.36
USA,USA0058632,3,32.1825,-110.8633,Solar,,,,2010,Tesla Inc.,4.402,5.33
USA,USA0058270,4.7,41.7989,-70.7436,Solar,,,,2012,Ahana Renewables  LLC,5.819,6.61
USA,USA0058271,1,41.6622,-71.0425,Solar,,,,2012,Ahana Renewables  LLC,1.449,1.42
USA,USA0059128,3.2,41.7144,-70.9972,Solar,,,,2013,Ahana Renewables  LLC,4.19,5.02
USA,USA0059121,1.9,41.7517,-70.9706,Solar,,,,2013,Ahana Renewables  LLC,2.437,2.93
USA,USA0010819,33.1,42.9627,-85.4941,Gas,,,,1990,Ada Cogeneration Ltd Partnership,165.704,116.72
USA,USA0050433,1.4,42.9506,-85.4859,Hydro,,,,1984,STS Hydropower  LLC,3.708,5.07
USA,USA0056810,174.8,41.4236,-94.665,Wind,,,,2009,MidAmerican Energy Co,471.946,517.28
USA,USA0060772,3.1,39.4114,-74.5309,Solar,,,,2011.580645,GSRP,5.085,4.57
USA,USA0059850,1.2,39.7867,-104.5877,Solar,,,,2015,Adams Community Solar Garden III LLC,2.447,2.37
USA,USA0059849,1.2,39.7876,-104.5859,Solar,,,,2015,Adams Community Solar Garden LLC,0.781,2.37
USA,USA0059775,3,42.6,-72.2,Solar,,,,2013,Adams Farm Solar LLC,3.816,4.01
USA,USA0059637,154.3,40.92,-94.6717,Wind,,,,2015.688918,MidAmerican Energy Co,485.774,536.94
USA,USA0056307,23.3,43.5548,-92.7241,Wind,,,,2003.420601,Consolidated Edison Development Inc.,55.159,66.06
USA,USA0057375,20,44.9169,-94.7356,Wind,,,,2011,BEAM US  LLC,49.221,61.92
USA,USA0059441,20,34.5572,-117.3775,Solar,,,,2015,Adelanto Solar  LLC,60.618,54.15
USA,USA0059440,7,34.5572,-117.3775,Solar,,,,2015,Adelanto Solar II  LLC,18.563,17.04
USA,USA0057305,10,34.5508,-117.4353,Solar,,,,2012,Los Angeles Department of Water & Power,17.226,18.04
USA,USA0060027,20,37.1206,-120.3249,Solar,,,,2016,Sustainable Power Group  LLC,39.394,45.72
USA,USA0058136,6.8,42.3622,-89.8036,Gas,,,,2006.5,Adkins Energy LLC,29.432,23.98
USA,USA0057811,1.2,37.3306,-121.8931,Gas,,,,2010,Bloom Energy,8.757,4.23
USA,USA0057651,20,35.1028,-118.9544,Solar,,,,2014,Southern Power Co,49.616,51.44
USA,USA0001956,2,43.6371,-95.9328,Oil,,,,2005,Adrian Public Utilities Comm,0.02,1.17
USA,USA0054903,2.4,41.891,-83.9929,Waste,,,,1995,LES Project Holdings LLC,15.591,0.43
USA,USA0059788,1,42.015,-72.5119,Solar,,,,2014,Tesla Inc.,1.308,1.33
USA,USA0056225,3,36.4725,-101.3278,Wind,,,,2004,Aeolus Wind LLC,1.111,8.25
USA,USA0055184,6.2,35.9533,-120.86,Gas,,,,1989,Aera Energy LLC-San Ardo,47.553,21.86
USA,USA0057697,3,38.6135,-121.1629,Solar,,,,2010,Altus Power America Management  LLC,5.12,5.08
USA,USA0057698,2.7,38.6086,-121.1703,Solar,,,,2010,Altus Power America Management  LLC,2.945,4.57
USA,USA0055210,287,32.1142,-106.8465,Gas,,,,2003.916376,Public Service Co of NM,0,1012.1
USA,USA0055576,1.9,47.0053,-96.4356,Wind,,,,2001,CHI Operations Inc,4.324,5.04
USA,USA0059028,1.5,42.0819,-72.6144,Solar,,,,2012,Citizens Enterprises Corporation,1.992,1.9
USA,USA0050748,32,37.4058,-121.9272,Gas,,,,1990,OLS Energy-Agnews Inc.,20.898,112.84
USA,USA0059181,1,41.6919,-90.8664,Biomass,,,,2013,AgriReNew,5.499,
USA,USA0010593,12.1,30.2012,-93.1269,Waste,,,,1984,Agrilectric Power Partners Ltd,88.193,2.19
USA,USA0056408,8.4,41.3017,-89.6236,Wind,,,,2007,AgriWind Project  LLC,23.378,21.16
USA,USA0057373,347.7,32.9774,-113.4945,Solar,,,,2013.087144,Agua Caliente Solar,728.74,753.49
USA,USA0000141,613.5,33.5561,-112.2153,Gas,Oil,Solar,,1964.571312,Salt River Project,199.527,2163.5
USA,USA0055951,60.5,34.0414,-117.3603,Gas,,,,2003,E I Colton LLC,11.648,213.35
USA,USA0052158,25,38.8339,-122.881,Geothermal,,,,1989,Geysers Power Co LLC,115.589,135.13
USA,USA0056162,59.4,42.4489,-99.8917,Wind,,,,2005,Nebraska Public Power District,162.168,173.29
USA,USA0055309,169.1,29.8665,-93.9651,Gas,,,,2006.023655,Air Products LLC,1007.139,596.33
USA,USA0059807,1.5,39.8994,-104.6753,Solar,,,,2010,Greenbacker Renewable Energy Corporation,2.59,2.66
USA,USA0007995,10,38.2844,-104.5308,Oil,,,,2002,Black Hills Colorado Electric  LLC,-0.149,5.86
USA,USA0060288,5,34.8309,-79.1194,Solar,,,,2017,Cypress Creek Renewables,1.394,8.14
USA,USA0058980,1.8,41.1533,-81.5689,Biomass,,,,2014,City of Akron,8.0948,
USA,USA0010549,2.4,41.4043,-74.3767,Waste,,,,2006.666667,Ameresco LFG I Inc,5.96,0.43
USA,USA0054429,69,31.5825,-87.4889,Biomass,Waste,,,1991,Alabama River Cellulose LLC,456.064711,
USA,USA0010216,48,31.5825,-87.4889,Biomass,Waste,,,1978,Alabama River Cellulose LLC,287.087451,
USA,USA0007450,54.8,37.7886,-122.2889,Gas,Oil,,,1986,Northern California Power Agny,0,193.25
USA,USA0000905,19.6,34.8158,-118.6867,Hydro,,,,1986,California Dept. of Water Resources,104.372,44.42
USA,USA0059206,105,30.9931,-102.2708,Solar,,,,2017,BHE Renewables  LLC,262.216,171.1
USA,USA0059469,20,34.6822,-117.3475,Solar,,,,2015,Dominion Renewable Energy,51.002,51.53
USA,USA0057577,5,32.8657,-105.9998,Solar,,,,2011,PNM Resources,11.421,8.93
USA,USA0000464,53.2,37.4594,-105.8947,Gas,Oil,,,1975,Public Service Co of Colorado,0.406,187.6
USA,USA0060340,54.5,31.5559,-84.1103,Waste,Gas,Biomass,,2017,Albany Green Energy  LLC,191.308005,9.87
USA,USA0059453,4.6,42.655,-73.7777,Gas,,,,2013,Albany Medical Center,31.435,16.22
USA,USA0060519,10,45.6413,-94.5993,Solar,,,,2017,Enel Green Power NA  Inc.,10.562,16.29
USA,USA0056339,1.8,35.3636,-80.1939,Oil,,,,2006,North Carolina Mun Power Agny #1,0.104,1.05
USA,USA0056263,3.6,35.4072,-80.1518,Oil,,,,2006,North Carolina Mun Power Agny #1,0.136,2.1
USA,USA0058806,5,35.2931,-77.5569,Solar,,,,2015,SRE Utility Solar 1  LLC,9.677,8.64
USA,USA0000851,42,48.1802,-116.9986,Hydro,,,,1955,USACE Northwestern Division,154.187,165.53
USA,USA0059901,5,35.093,-77.8127,Solar,,,,2015,Albertson Solar LLC,11.613,9.08
USA,USA0007924,4,34.3634,-86.2239,Oil,,,,2000,Albertville Municipal Utilities Board,0,2.34
USA,USA0057567,2,35.169,-106.6,Solar,,,,2011,PNM Resources,4.31,3.49
USA,USA0001693,8,44.562,-83.8045,Hydro,,,,1924,Consumers Energy Co,33.507,30.6
USA,USA0006409,41.4,42.5484,-106.7175,Hydro,,,,1955,U S Bureau of Reclamation,133.364,121.53
USA,USA0056223,10.9,46.1584,-123.406,Gas,,,,2002,Clatskanie Peoples Util Dist,0,38.43
USA,USA0003913,50,46.8016,-122.3102,Hydro,,,,1946.5,City of Tacoma - (WA),232.142,125.32
USA,USA0058519,2.8,40.0006,-74.735,Solar,,,,2011,Syncarpha Alethea I  LLC,3.562,3.86
USA,USA0004060,4.2,45.1875,-89.7553,Hydro,,,,1925,Wisconsin Public Service Corp,30.22,19.44
USA,USA0058666,50.7,38.4247,-99.5075,Wind,,,,2016,SRIV Partnership LLC,218.555,224.32
USA,USA0001958,9.2,45.8892,-95.3797,Oil,Gas,,,1964.521739,City of Alexandria - (MN),0.085,5.39
USA,USA0001120,16.1,43.0733,-94.2392,Oil,Gas,,,1982.322981,City of Algona - (IA),30.472,9.43
USA,USA0057564,61.5,36.6842,-119.5522,Gas,,,,2008.813008,Algonquin Power Sanger LLC,88.624,216.87
USA,USA0060242,10,35.1261,-119.2434,Solar,,,,2017,Algonquin Power Co,22.211,16.29
USA,USA0059412,20,35.1261,-119.2433,Solar,,,,2015,Algonquin Power Co,48.28,52.81
USA,USA0010567,71,41.9227,-72.6255,Gas,Oil,,,1994.647887,Algonquin Windsor Locks LLC,129.080806,250.38
USA,USA0054391,2.1,44.5192,-73.4648,Hydro,,,,1991,Alice Falls Hydro  LLC,0.881,7.03
USA,USA0000760,86.6,34.1637,-84.7282,Hydro,,,,1950,USCE-Mobile District,9.244,255.78
USA,USA0001694,2.6,42.5638,-85.954,Hydro,,,,1939.615385,Consumers Energy Co,14.073,9.01
USA,USA0007784,67,42.5027,-78.0686,Gas,,,,1994,Allegany Generating Station  LLC,33.142,236.27
USA,USA0055710,556,40.5453,-79.7686,Gas,Oil,,,2003,Springdale Energy LLC,0,1960.73
USA,USA0050897,13.6,40.8966,-79.479,Hydro,,,,1991,Allegheny Hydro LP,92.121,59.2
USA,USA0050898,17.8,40.956,-79.5507,Hydro,,,,1991,Allegheny Hydro LP,100.228,77.48
USA,USA0050894,9.2,40.7164,-79.5772,Hydro,,,,1988,All Dams Generation  LLC,38.905,38.99
USA,USA0050893,9.2,40.6829,-79.6653,Hydro,,,,1988,All Dams Generation  LLC,37.006,30.32
USA,USA0056451,80,40.3839,-78.5794,Wind,,,,2007,Leeward Asset Management  LLC,212.986,234.47
USA,USA0003393,1791.7,35.0741,-90.1487,Gas,Oil,,,2001.848189,Tennessee Valley Authority,3301.607003,6318.42
USA,USA0001915,598.4,45.03,-92.7786,Coal,Oil,Gas,,1958,Northern States Power Co - Minnesota,2913.347041,2764.11
USA,USA0058706,22.5,32.995,-81.2819,Waste,,,,2013,Allendale Biomass LLC,159.562,4.07
USA,USA0056215,3.8,43.4,-95.6333,Wind,,,,2000.631579,E&E Enterprises LLC,5.073,9.16
USA,USA0002540,4,44.6603,-74.8603,Hydro,,,,1927,Erie Boulevard Hydropower LP,17.329,7.65
USA,USA0057581,3.2,41.1511,-76.9178,Waste,,,,2012,EPP Renewable Energy,24.611,0.57
USA,USA0052031,25,29.6833,-89.975,Gas,,,,1985.68,Phillips 66,0,88.16
USA,USA0055135,371,44.1936,-88.5064,Gas,,,,2000,Wisconsin Power & Light Co,0,1308.32
USA,USA0054714,3.1,42.0243,-91.704,Oil,,,,1985.709677,Industrial Energy Applications Inc,0,1.81
USA,USA0054720,3.6,41.7958,-92.0592,Oil,,,,1990.444444,Industrial Energy Applications Inc,0,2.1
USA,USA0054716,5.6,42.0289,-91.5975,Oil,,,,1986,Industrial Energy Applications Inc,0,3.28
USA,USA0054717,16,42.0356,-91.6458,Oil,,,,1992,Industrial Energy Applications Inc,0,9.37
USA,USA0054715,11.4,42.056,-92.8971,Oil,,,,1994.947368,Industrial Energy Applications Inc,0,6.68
USA,USA0054712,2.1,43.0906,-91.5542,Oil,,,,2000.904762,Industrial Energy Applications Inc,0.0098,1.23
USA,USA0054719,5.6,41.935,-91.6361,Oil,,,,2003.321429,American Profol Incorporated,0.23814,3.28
USA,USA0054710,3.6,42.4906,-90.745,Oil,,,,1994.861111,Industrial Energy Applications Inc,0,2.1
USA,USA0054718,1.6,43.3744,-92.1331,Oil,,,,1995,Industrial Energy Applications Inc,0,0.93
USA,USA0054735,3.5,42.53,-90.6847,Oil,,,,1999.028571,Industrial Energy Applications Inc,0,2.05
USA,USA0054967,1.2,42.0264,-91.7042,Oil,,,,1995,Industrial Energy Applications Inc,0,0.7
USA,USA0054929,4.1,41.9167,-91.6542,Oil,,,,2002.682927,Industrial Energy Applications Inc,0,2.4
USA,USA0054968,5.4,42.8381,-93.6033,Oil,,,,1997.333333,Industrial Energy Applications Inc,0.00196,3.16
USA,USA0056074,1.1,41.9244,-91.6385,Oil,,,,2001,Industrial Energy Applications Inc,0,0.64
USA,USA0055996,6.1,41.9701,-91.6662,Oil,,,,2003,Industrial Energy Applications Inc,0,3.57
USA,USA0056073,1,42.0277,-91.7111,Gas,,,,1999,Industrial Energy Applications Inc,0,3.52
USA,USA0058982,6.5,61.0844,-146.3533,Hydro,,,,2016,Copper Valley Elec Assn  Inc,19.71,15.07
USA,USA0007315,223.5,37.5744,-120.985,Gas,,,,2008.456376,Turlock Irrigation District,182.098,788.17
USA,USA0058659,5,21.4069,-158.1514,Solar,,,,2017,Altus Power America Management  LLC,8.123,8.14
USA,USA0058813,21,41.6631,-76.8056,Gas,,,,2017,Alpaca Energy LLC,56.937,74.05
USA,USA0058003,50,35.8983,-119.4353,Solar,,,,2013,Consolidated Edison Development Inc.,128.039,118.81
USA,USA0058002,20,35.9025,-119.4428,Solar,,,,2013,Consolidated Edison Development Inc.,50.414,47.56
USA,USA0050305,47.2,45.0699,-83.4082,Petcoke,Coal,Other,,1974.699153,Lafarge Corp,0,
USA,USA0058252,1,39.305,-76.9019,Waste,,,,2012,Howard County - Maryland,4.666,0.18
USA,USA0059926,453.8,45.0637,-84.8253,Gas,,,,2016,Wolverine Power Supply Coop,460.363,1600.32
USA,USA0057295,66,34.7892,-118.5047,Solar,,,,2013,NRG Solar Alpine,162.936,155.97
USA,USA0007818,173,39.5698,-90.436,Gas,Oil,,,2003.99422,Prairie Power  Inc,16.103,610.08
USA,USA0060258,28.1,32.572,-107.4865,Solar,,,,2017,TPE Alta Luna  LLC,72.422,45.79
USA,USA0001121,5,42.6736,-95.3026,Oil,,,,2003.8,City of Alta - (IA),0,2.93
USA,USA0000214,1,39.216,-120.8036,Hydro,,,,1902,Pacific Gas & Electric Co.,3.485,1.87
USA,USA0057282,150,35.0337,-118.3534,Wind,,,,2011,NRG Yield LLC,366.518,403.07
USA,USA0057291,150,35.0239,-118.2953,Wind,,,,2011,NRG Yield LLC,325.932,404.23
USA,USA0057292,150,35.0239,-118.2953,Wind,,,,2011,NRG Yield LLC,350.502,404.23
USA,USA0057293,102,35.0086,-118.2422,Wind,,,,2011,NRG Yield LLC,162.752,286.92
USA,USA0057294,168,35.0086,-118.2422,Wind,,,,2011,NRG Yield LLC,263.466,438.57
USA,USA0057835,150,35.0267,-118.2348,Wind,,,,2012,Brookfield Renewable Trading and Marketing LP,251.38,414.17
USA,USA0058394,138,35.06,-118.2,Wind,,,,2014,NRG Yield LLC,340.379,383.37
USA,USA0058395,90,35.065,-118.39,Wind,,,,2014,NRG Yield LLC,248.865,250.94
USA,USA0050299,49.5,37.7325,-121.116,Gas,,,,1988,AltaGas Ripon Energy Inc.,19.296,174.56
USA,USA0007990,7.2,39.0687,-88.7555,Oil,,,,2003,City of Altamont - (IL),0.116,4.21
USA,USA0050571,6,37.7493,-121.6499,Waste,,,,1989,WM Renewable Energy LLC,41.863,1.08
USA,USA0010773,71.1,37.1187,-79.2736,Waste,Gas,,,1992,Virginia Electric & Power Co,0,12.88
USA,USA0050485,25.1,33.915,-116.5551,Wind,,,,1985.864542,Terra-Gen Operating Co-Wind,21.522,39.01
USA,USA0054690,8.2,43.6058,-116.5753,Gas,Coal,,,1962.634146,Amalgamated Sugar Co-Nampa,0,28.91
USA,USA0010504,10.2,42.5328,-114.4328,Coal,Gas,,,1976.352941,The Amalgamated Sugar Co,54.206056,47.11
USA,USA0058357,4.2,40.5664,-74.2214,Solar,,,,2012,CVI CleanCapital Solar 4 LLC,5.659,5.77
USA,USA0061377,2.5,37.4689,-121.1663,Solar,,,,2017,AES Distributed Energy,3.54,4.07
USA,USA0059800,1.1,34.0884,-117.2458,Gas,,,,2014,Bloom Energy,7.715,3.87
USA,USA0060243,1.1,67.088,-157.8567,Oil,,,,1994.090909,Alaska Village Elec Coop  Inc,1.279,0.64
USA,USA0050964,3,40.3008,-120.105,Geothermal,,,,1988,Amedee Gethrm Venture I LP,0,16.21
USA,USA0056681,14.4,37.3097,-78.0589,Waste,Oil,,,2001,Industrial Power Generating Company LLC,45.291,2.6
USA,USA0057771,2.3,39.674,-121.73,Waste,,,,2013,Ameresco Butte County LLC,16.116,0.41
USA,USA0056426,7.8,42.1626,-72.5367,Waste,,,,2005.615385,AMERESCO Chicopee Energy LLC,46.339,1.41
USA,USA0056898,9.2,34.4317,-118.6429,Waste,,,,2010,AMERESCO Chiquita Canyon LLC,48.038,1.66
USA,USA0058946,4.2,32.6486,-96.6444,Waste,,,,2011,Ameresco Dallas LLC,29.835,0.76
USA,USA0056430,5,39.0339,-75.7233,Waste,,,,2009.8,AMERESCO Delaware Central,23.463,0.9
USA,USA0056429,5,38.5992,-75.4342,Waste,,,,2007.6,AMERESCO Delaware South,26.076,0.9
USA,USA0058437,4.4,37.8834,-121.1851,Waste,,,,2014,Ameresco Forward  LLC,32.579,0.79
USA,USA0056427,3,42.7083,-89.0208,Waste,,,,2004,AMERESCO Janesville LLC,11.079,0.54
USA,USA0056896,3,38.5524,-92.0449,Waste,,,,2009,AMERESCO Jefferson City LLC,21.614,0.54
USA,USA0058397,1.4,36.5342,-121.4086,Waste,,,,2013,Ameresco Johnson Canyon LLC,9.281,0.25
USA,USA0056897,3.8,38.0039,-121.9345,Waste,,,,2009,AMERESCO Keller Canyon LLC,28.927,0.68
USA,USA0056895,11.4,37.5,-122.4,Waste,,,,2009,AMERESCO Ox Mountain Energy LLC,83.957,2.06
USA,USA0058436,4.4,38.0297,-120.9297,Waste,,,,2014,Ameresco San Joaquin  LLC,31.935,0.79
USA,USA0056428,3,36.9178,-121.8156,Waste,,,,2006,AMERESCO Santa Cruz Energy LLC,19.537,0.54
USA,USA0056894,2.2,38.3842,-77.4131,Waste,,,,2009,AMERESCO Stafford LLC,10.238,0.39
USA,USA0058435,4.4,37.7544,-121.7289,Waste,,,,2014,Ameresco Vasco Road  LLC,33.13,0.79
USA,USA0054212,6.5,47.7647,-96.6334,Coal,,,,1963.692308,American Crystal Sugar Co,39.68658,30.02
USA,USA0054213,6,48.5932,-97.1761,Coal,,,,1965,American Crystal Sugar Co,37.55549,27.71
USA,USA0054214,7.5,47.9272,-97.0072,Coal,,,,1990,American Crystal Sugar Co,40.88938,34.64
USA,USA0054210,13.3,47.4376,-97.0631,Coal,,,,1990,American Crystal Sugar Co,70.412077,61.43
USA,USA0054211,5,46.9026,-96.7611,Coal,,,,1953.2,American Crystal Sugar Co,0,23.09
USA,USA0000809,92.4,42.7778,-112.8764,Hydro,,,,1978,Idaho Power Co,482.999,365.69
USA,USA0060011,20,42.824,-112.752,Solar,,,,2017,American Falls Solar LLC,34.597,32.59
USA,USA0060012,20,42.824,-112.752,Solar,,,,2017,American Falls Solar II  LLC,35.004,32.59
USA,USA0054630,9.6,39.6486,-106.9494,Gas,Oil,,,1990,Eagle Materials Co LLC,20.182,33.85
USA,USA0059516,16,36.4183,-77.6558,Solar,,,,2018,Ecoplexus  Inc,0.095,26.07
USA,USA0001122,108.8,42.0258,-93.6089,Gas,Biomass,,,1977.174632,City of Ames - (IA),0,383.68
USA,USA0006463,78.7,42.0272,-93.5828,Oil,,,,1996.068615,City of Ames - (IA),1.351,46.12
USA,USA0006207,3.6,37.866,-107.8831,Hydro,,,,1906,Public Service Co of Colorado,8.109,11.24
