country,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,generation_gwh_2017,estimated_generation_gwh_2017
USA,USA0058280,3,42.1647,-71.795,Solar,,,,2014,First Wind O&M  LLC,4.356,4.37
USA,USA0056253,80,37.1121,-113.5166,Gas,,,,2008,City of St George,96.796,282.11
USA,USA0055079,427.5,42.1123,-72.0151,Gas,,,,2001,Millennium Power Partners LP,0,1507.57
USA,USA0058057,1.4,38.3569,-78.6767,Biomass,,,,2012,MillerCoors Shenandoah Brewery,5.59844,
USA,USA0000038,101.1,32.1009,-87.3998,Hydro,,,,1970,USCE-Mobile District,375.47,400.42
USA,USA0058246,3.2,39.0847,-76.6764,Waste,,,,2012,LES Operations Services LLC,26.527,0.57
USA,USA0060760,2,33.691,-117.833,Storage,,,,2017,esVolta LP,-0.156,
USA,USA0059576,5,35.8177,-79.7711,Solar,,,,2015,Cypress Creek Renewables,10.005,10.28
USA,USA0061093,5,34.9681,-79.9358,Solar,,,,2016,Mills Anson Farm  LLC,9.697,10.28
USA,USA0000566,2162.9,41.3107,-72.1677,Nuclear,,,,1981.793148,Dominion Energy Nuclear Conn Inc,16499.621,17158.9
USA,USA0058822,1.3,39.3764,-75.0331,Solar,,,,2013,GSRP,1.919,1.98
USA,USA0006546,2.8,39.2731,-77.7844,Hydro,,,,1931.928571,PE Hydro Generation  LLC,8.542,8.64
USA,USA0056437,19.5,42.4606,-114.0173,Wind,,,,2011,Idaho Wind Partners 1 LLC,46.049,57.37
USA,USA0007190,59.5,42.5268,-114.0369,Hydro,,,,1992.783193,Idaho Power Co,237.491,184.11
USA,USA0058739,3,36.1489,-79.3489,Solar,,,,2016,Milo Solar LLC,5.941,5.98
USA,USA0059838,50,33.9018,-103.3468,Wind,,,,2016,EDF Renewable Asset Holdings  Inc.,212.212,199.44
USA,USA0054872,1,33.6894,-83.9903,Hydro,,,,1994,Mill Shoals Hydro Co Inc,2.195,2.04
USA,USA0003717,7.4,44.6414,-73.1134,Hydro,,,,1929,Green Mountain Power Corp,37.89,24.17
USA,USA0010519,1.4,43.4031,-70.9865,Hydro,,,,1955.428571,SFR Hydro Cor,6.87555,3.54
USA,USA0002823,734,47.0659,-101.2131,Coal,,,,1974.549046,Minnkota Power Coop  Inc,5330.959019,3390.47
USA,USA0057590,99.2,35.2803,-97.9756,Wind,,,,2011,FPLE Wind  LLC,301.747,324.74
USA,USA0057956,100.8,35.3253,-98.0714,Wind,,,,2011,FPLE Wind  LLC,360.168,328.53
USA,USA0058203,100.8,35.3724,-98.1827,Wind,,,,2013,FPLE Wind  LLC,450.674,376.05
USA,USA0057852,32,43.67,-82.7586,Wind,,,,2013,DTE Electric Company,111.846,113.9
USA,USA0010183,3,42.7503,-71.5053,Hydro,,,,1986,City of Nashua  NH,3.478,8.41
USA,USA0002586,10,43.4003,-76.4739,Hydro,,,,1915,Erie Boulevard Hydropower LP,37.725,42.71
USA,USA0006398,27.7,42.6699,-113.4832,Hydro,,,,1980.249097,U S Bureau of Reclamation,50.897,84.74
USA,USA0010325,3.1,42.2608,-111.6656,Hydro,,,,1987,Mink Creek Hydro Entity,13.728,5.42
USA,USA0056459,150,44.2667,-96.3444,Wind,,,,2008,Avangrid Renewables LLC,531.403,524.66
USA,USA0001307,9.1,39.1194,-97.7086,Gas,Oil,,,1971.615385,City of Minneapolis - (KS),0.232,32.09
USA,USA0056587,1.3,43.5833,-95.7781,Wind,,,,2006,Midwest Power Partners LLC,2.934,3.12
USA,USA0007844,49,44.7952,-93.581,Gas,Oil,,,2001,Minnesota Municipal Power Agny,0,172.79
USA,USA0058740,3,35.9481,-79.3619,Solar,,,,2016,Minnie Solar LLC,5.805,5.99
USA,USA0057284,200,40.8886,-88.9972,Wind,,,,2012,Algonquin Power Co,673.76,581.98
USA,USA0055995,7.1,48.0213,-101.2805,Wind,,,,2007.43662,Basin Electric Power Coop,2.851,21.78
USA,USA0055700,319,46.1388,-122.9855,Gas,,,,2008,Puget Sound Energy Inc,878.516,1124.95
USA,USA0056002,3.8,43.5564,-96.3036,Wind,,,,2002,Community Renewables  LLC,9.354,9.08
USA,USA0056123,11.5,43.6383,-96.3919,Wind,,,,2005,Rock County Energy Center  LLC,23.728,25.93
USA,USA0001714,5,44.6611,-84.1317,Hydro,,,,1916,Consumers Energy Co,16.667,18.28
USA,USA0058698,3,34.0131,-117.5375,Solar,,,,2011,Costco Wholesale,3.852,4.79
USA,USA0060661,20,34.0061,-117.5609,Storage,,,,2017,Southern California Edison Co,13.433,
USA,USA0056473,49.8,34.0053,-117.5604,Gas,,,,2007,Southern California Edison Co,24.404,175.61
USA,USA0056232,106,32.8769,-117.1664,Gas,,,,2007,San Diego Gas & Electric Co,112.096,373.8
USA,USA0059577,5,35.4686,-80.2936,Solar,,,,2016,Misenheimer Farm  LLC,9.422,10.22
USA,USA0002746,1.8,35.0647,-83.9258,Hydro,,,,1931,Northbrook Carolina Hydro II  LLC,3.64,4.29
USA,USA0059267,1.5,37.2678,-120.4825,Solar,,,,2015,Mission Solar LLC,3.357,3.31
USA,USA0054203,4.2,32.3133,-90.1797,Gas,,,,1991,Mississippi Baptist Medical,5.35764,14.81
USA,USA0055033,3,41.2033,-95.9292,Biomass,Gas,,,1990.333333,Omaha City of,10.734,
USA,USA0003948,1632.6,39.8297,-80.8153,Coal,,,,1971,Kentucky Power Co,7686.847001,7541.26
USA,USA0000017,170,32.806,-86.4449,Hydro,,,,1980.764706,Alabama Power Co,428.126,489.09
USA,USA0059411,1.5,34.765,-117.3236,Solar,,,,2015,CD US Solar PO 3  LLC,4.294,3.38
USA,USA0057859,250,36.5299,-114.7703,Solar,,,,2017,CD Arevon USA  Inc.,628.585,407.38
USA,USA0006651,60.6,39.4244,-92.4837,Oil,,,,1978,Union Electric Co - (MO),-0.299,35.51
USA,USA0006229,3.1,40.883,-97.6014,Oil,,,,1990.516129,Nebraska Public Power District,0.021,1.81
USA,USA0000381,100,37.8094,-120.2993,Hydro,,,,1969,City & County of San Francisco,324.849,346.13
USA,USA0000751,2.9,37.8164,-120.312,Hydro,,,,1987,City & County of San Francisco,0,11.73
USA,USA0058313,5,35.8786,-80.5419,Solar,,,,2012,Mocksville Lessee LLC,9.062,9.13
USA,USA0059570,15.4,35.8339,-80.5744,Solar,,,,2017,Duke Energy Carolinas  LLC,26.54,25.09
USA,USA0055757,5.6,43.2094,-78.9836,Waste,,,,2001,Model City Energy LLC,39.561,1.01
USA,USA0056323,6.4,43.2094,-78.9836,Waste,,,,2006,Innovative Energy Systems Inc,21.885,1.15
USA,USA0060417,4.9,35.8503,-77.1102,Solar,,,,2016,Cypress Creek Renewables,10.066,8.92
USA,USA0060658,71.4,32.6207,-80.9802,Solar,,,,2018,Moffett Solar 1  LLC,3,116.34
USA,USA0059819,4.4,34.9843,-114.5565,Solar,,,,2015,Mohave Sunrise Solar I  LLC,39.336,36.9
USA,USA0050821,48,35.045,-118.2642,Wind,,,,1990,Terra-Gen Operating Co-Wind,34.238,43.18
